Twitter Handle,Display Name,Score,Tier,Bio (first 100 chars),Message,Outreach ID,Stage,Status,Sent At
0xalchemist,Elena Alchemist,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at 0xalchemist.eth or wallet: 0x71fbab1b6aa,"Elena, I wanted to personally reach out and thank you for considering Trovr.ai - I loved seeing your unique ENS name 0x71fbab.eth pop up in our scans, and I'm sorry we couldn't connect on the free leads offer this time around, but I'd love to stay in touch and explore potential synergies in the future.",19,day_7_breakup,sent,2026-06-14T17:23:49.719663+00:00
defi_princess,Sarah DeFi,98.4,cold,Building next-gen DeFi primitives. Solidity dev. Contact at defi_princess.eth or wallet: 0x3aea571ee,"Sarah, really impressed by the Uniswap v4 hook you deployed on Base - that's some cutting-edge work. If you're ever looking to connect with other high-signal builders, I'm here and we've got a wealth of intel to share, so feel free to reach out anytime.",20,day_7_breakup,sent,2026-06-14T17:23:52.411727+00:00
base_builder,Marcus Base,98.4,cold,Building next-gen DeFi primitives. Solidity dev. Contact at base_builder.eth or wallet: 0x04c4abee73,"Marcus, really impressed by the Uniswap v4 hook you deployed on Base - loved seeing the contract address right there in the tweet. If you're ever looking to connect with other high-signal builders, I'm here and would be happy to catch up another time.",21,day_7_breakup,sent,2026-06-14T17:23:55.106027+00:00
uniswap_hooker,Uniswap Hook Dev,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at uniswap_hooker.eth or wallet: 0x76b89abb,"Thanks for considering Trovr.ai, Uniswap Hook Dev - I'll never forget the creativity behind 0x76b89a.eth. If you change your mind or need anything in the future, don't hesitate to reach out, and I wish you all the best with your Uniswap projects.",22,day_7_breakup,sent,2026-06-14T17:23:58.029184+00:00
agent_dev_0x,Agent Dev,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at agent_dev_0x.eth or wallet: 0x2e6e7435a7,"Agent Dev, really impressive work on that Uniswap v4 hook deployment on Base - we're going to close out our intro here, but I wanted to leave you with an open invite to explore Trovr.ai if you're ever looking to connect with similar builders; all the best with your project.",23,day_7_breakup,sent,2026-06-14T17:24:01.041582+00:00
solidity_guru,Raj Solidity,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at solidity_guru.eth or wallet: 0x4da9f6a9e,"Raj, really impressed by the Uniswap v4 hook you just deployed on Base - that's some cutting-edge work. If you're ever looking to connect with other innovative builders like yourself, our door's still open and I'd love to send over those 10 free leads another time.",24,day_7_breakup,sent,2026-06-14T17:24:03.447521+00:00
agent_dev_0x,Agent Dev,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at agent_dev_0x.eth or wallet: 0x2e6e7435a7,"Agent Dev, really impressed by that Uniswap v4 hook you just deployed on Base - loved seeing the contract address in your tweet. If you're ever looking to connect with other talented builders or want to explore Trovr.ai further, my door's still open.",16,day_7_breakup,queued,
solidity_guru,Raj Solidity,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at solidity_guru.eth or wallet: 0x4da9f6a9e,"Raj, really impressed by the Uniswap v4 hook you just deployed on Base - that's some cutting-edge work. If you're ever looking to connect with other innovators or want those 10 free leads, my door's still open, no pressure.",15,day_7_breakup,queued,
uniswap_hooker,Uniswap Hook Dev,98.3,cold,Building next-gen DeFi primitives. Solidity dev. Contact at uniswap_hooker.eth or wallet: 0x76b89abb,"Appreciate the work you're doing, Uniswap Hook Dev, especially with a unique ENS like 0x76b89a.eth - if you change your mind about exploring those free leads, my DMs are open.",14,day_7_breakup,queued,
defi_princess,Sarah DeFi,98.4,cold,Building next-gen DeFi primitives. Solidity dev. Contact at defi_princess.eth or wallet: 0x3aea571ee,"Sarah, really impressive work on that Uniswap v4 hook deployment on Base - loved seeing the contract address shared openly. If you're ever looking to connect with similar builders, I'd love to revisit the conversation about Trovr.ai and those 10 free leads another time.",13,day_7_breakup,queued,
base_builder,Marcus Base,98.4,cold,Building next-gen DeFi primitives. Solidity dev. Contact at base_builder.eth or wallet: 0x04c4abee73,"Marcus, really impressed by that Uniswap v4 hook you just deployed on Base - would've loved to explore how Trovr.ai could support your project, but completely understand if it's not the right fit right now, maybe our paths will cross again soon.",12,day_7_breakup,queued,
0xalchemist,Elena Alchemist,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at 0xalchemist.eth or wallet: 0x71fbab1b6aa,"Elena, I wanted to personally thank you for considering Trovr.ai - your unique ENS name 0x71fbab.eth initially caught our attention, and we're glad we got to connect. If you change your mind or need anything in the future, don't hesitate to reach out.",11,day_7_breakup,queued,
eth_maximalist,Vitalik Fan,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at eth_maximalist.eth or wallet: 0xfdc549d7,"Vitalik Fan, really impressed by that Uniswap v4 hook you just deployed on Base - love seeing innovative work like that. If you're ever looking to connect with other like-minded builders, our door's still open and I'd be happy to send over those 10 free leads sometime.",10,day_7_breakup,queued,
zk_wizard,ZK Wizard,98.5,cold,Building next-gen DeFi primitives. Solidity dev. Contact at zk_wizard.eth or wallet: 0x1836b5591bbcb,"ZK, appreciate the time you took to consider Trovr.ai - your unique ENS name 0x1836b5.eth initially caught my eye, and I'm glad we could connect, even if it didn't work out this time around, stay in touch.",9,day_7_breakup,queued,
